lang,procs,op,median
julia,1,write,1.021955e6
julia,2,write,1.019118e6
julia,4,write,1.0349815e6
julia,8,write,1.2224315e6
julia,1,reads,1.215817e6
julia,2,reads,1.217964e6
julia,4,reads,1.212565e6
julia,8,reads,1.5558035e6
julia,1,flops,1.481522e6
julia,2,flops,1.4856635e6
julia,4,flops,1.5420775e6
julia,8,flops,1.904866e6
julia,1,comms,5.09416871e8
julia,2,comms,1.164862868e9
julia,4,comms,2.5099625685e9
julia,8,comms,1.5899994182209096e18
CPP,1,write,44448.5
CPP,2,write,44718.5
CPP,4,write,54525.5
CPP,8,write,54321.0
CPP,1,reads,18605.0
CPP,2,reads,18609.0
CPP,4,reads,23969.0
CPP,8,reads,23967.5
CPP,1,flops,1.4485865e6
CPP,2,flops,1.481506e6
CPP,4,flops,1.9057165e6
CPP,8,flops,1.907446e6
CPP,1,comms,1.59351695e7
CPP,2,comms,2.22006385e7
CPP,4,comms,2.25476305e7
CPP,8,comms,2.4366878e7
