lang,procs,op,median
julia,1,write,1.0165675e6
julia,2,write,1.1975635e6
julia,4,write,1.1709475e6
julia,8,write,1.239676e6
julia,1,reads,1.213106e6
julia,2,reads,1.556035e6
julia,4,reads,1.413536e6
julia,8,reads,1.556102e6
julia,1,flops,1.481521e6
julia,2,flops,1.9047885e6
julia,4,flops,1.737964e6
julia,8,flops,1.9049225e6
julia,1,comms,7.51039448e8
julia,2,comms,7.898840795e8
julia,4,comms,1.8089207065e9
julia,8,comms,3.69659577e9
CPP,1,write,44740.5
CPP,2,write,213901.0
CPP,4,write,227264.0
CPP,8,write,126224.5
CPP,1,reads,16814.0
CPP,2,reads,18653.5
CPP,4,reads,23926.0
CPP,8,reads,23976.0
CPP,1,flops,1.4051235e6
CPP,2,flops,1.485966e6
CPP,4,flops,1.887288e6
CPP,8,flops,1.9098485e6
CPP,1,comms,3.6166909e7
CPP,2,comms,3.97549615e7
CPP,4,comms,4.77058405e7
CPP,8,comms,5.06526495e7
